_H:	|epoch	sum_sum_se	
_D:	971	0.72016		
_D:	972	0.719903	
_D:	973	0.719646	
_D:	974	0.719389	
_D:	975	0.719131	
_D:	976	0.718873	
_D:	977	0.718613	
_D:	978	0.718353	
_D:	979	0.718092	
_D:	980	0.717831	
_D:	981	0.717569	
_D:	982	0.717305	
_D:	983	0.717041	
_D:	984	0.716776	
_D:	985	0.71651		
_D:	986	0.716243	
_D:	987	0.715975	
_D:	988	0.715705	
_D:	989	0.715435	
_D:	990	0.715163	
_D:	991	0.71489		
_D:	992	0.714616	
_D:	993	0.714341	
_D:	994	0.714064	
_D:	995	0.713785	
_D:	996	0.713506	
_D:	997	0.713224	
_D:	998	0.712941	
_D:	999	0.712657	
_D:	1000	0.712371	
_D:	1001	0.712083	
_D:	1002	0.711793	
_D:	1003	0.711502	
_D:	1004	0.711208	
_D:	1005	0.710913	
_D:	1006	0.710615	
_D:	1007	0.710316	
_D:	1008	0.710014	
_D:	1009	0.70971		
_D:	1010	0.709404	
_D:	1011	0.709096	
_D:	1012	0.708785	
_D:	1013	0.708472	
_D:	1014	0.708156	
_D:	1015	0.707838	
_D:	1016	0.707517	
_D:	1017	0.707193	
_D:	1018	0.706867	
_D:	1019	0.706537	
_D:	1020	0.706205	
_D:	1021	0.705869	
_D:	1022	0.705531	
_D:	1023	0.705189	
_D:	1024	0.704845	
_D:	1025	0.704496	
_D:	1026	0.704145	
_D:	1027	0.703789	
_D:	1028	0.703431	
_D:	1029	0.703068	
_D:	1030	0.702702	
_D:	1031	0.702332	
_D:	1032	0.701958	
_D:	1033	0.70158		
_D:	1034	0.701198	
_D:	1035	0.700811	
_D:	1036	0.70042		
_D:	1037	0.700025	
_D:	1038	0.699625	
_D:	1039	0.699221	
_D:	1040	0.698812	
_D:	1041	0.698398	
_D:	1042	0.697978	
_D:	1043	0.697554	
_D:	1044	0.697125	
_D:	1045	0.69669		
_D:	1046	0.69625		
_D:	1047	0.695804	
_D:	1048	0.695353	
_D:	1049	0.694896	
_D:	1050	0.694433	
_D:	1051	0.693963	
_D:	1052	0.693488	
_D:	1053	0.693006	
_D:	1054	0.692518	
_D:	1055	0.692023	
_D:	1056	0.691522	
_D:	1057	0.691014	
_D:	1058	0.690499	
_D:	1059	0.689976	
_D:	1060	0.689447	
_D:	1061	0.688909	
_D:	1062	0.688365	
_D:	1063	0.687813	
_D:	1064	0.687252	
_D:	1065	0.686684	
_D:	1066	0.686108	
_D:	1067	0.685523	
_D:	1068	0.68493		
_D:	1069	0.684329	
_D:	1070	0.683718	
_D:	1071	0.683099	
_D:	1072	0.68247		
_D:	1073	0.681833	
_D:	1074	0.681185	
_D:	1075	0.680529	
_D:	1076	0.679862	
_D:	1077	0.679186	
_D:	1078	0.678499	
_D:	1079	0.677803	
_D:	1080	0.677096	
_D:	1081	0.676378	
_D:	1082	0.67565		
_D:	1083	0.67491		
_D:	1084	0.67416		
_D:	1085	0.673398	
_D:	1086	0.672625	
_D:	1087	0.67184		
_D:	1088	0.671043	
_D:	1089	0.670234	
_D:	1090	0.669413	
_D:	1091	0.668579	
_D:	1092	0.667733	
_D:	1093	0.666874	
_D:	1094	0.666002	
_D:	1095	0.665117	
_D:	1096	0.664218	
_D:	1097	0.663306	
_D:	1098	0.662379	
_D:	1099	0.661439	
_D:	1100	0.660484	
_D:	1101	0.659514	
_D:	1102	0.65853		
_D:	1103	0.657531	
_D:	1104	0.656516	
_D:	1105	0.655486	
_D:	1106	0.654439	
_D:	1107	0.653377	
_D:	1108	0.652298	
_D:	1109	0.651203	
_D:	1110	0.65009		
_D:	1111	0.64896		
_D:	1112	0.647812	
_D:	1113	0.646647	
_D:	1114	0.645463	
_D:	1115	0.64426		
_D:	1116	0.643039	
_D:	1117	0.641797	
_D:	1118	0.640537	
_D:	1119	0.639256	
_D:	1120	0.637954	
_D:	1121	0.636632	
_D:	1122	0.635288	
_D:	1123	0.633922	
_D:	1124	0.632535	
_D:	1125	0.631124	
_D:	1126	0.629691	
_D:	1127	0.628233	
_D:	1128	0.626752	
_D:	1129	0.625247	
_D:	1130	0.623716	
_D:	1131	0.622159	
_D:	1132	0.620577	
_D:	1133	0.618968	
_D:	1134	0.617332	
_D:	1135	0.615669	
_D:	1136	0.613978	
_D:	1137	0.612257	
_D:	1138	0.610508	
_D:	1139	0.608729	
_D:	1140	0.60692		
_D:	1141	0.60508		
_D:	1142	0.603209	
_D:	1143	0.601306	
_D:	1144	0.59937		
_D:	1145	0.597402	
_D:	1146	0.5954		
_D:	1147	0.593364	
_D:	1148	0.591294	
